Title,Date,Rating,Description_Short,Minimum_Players,Maximum_Players,Minimum_Playtime,Maximum_Playtime,Age,Weight,Publisher,Type_Primary_ID,Type_Secondary_ID,Category_Primary_ID,Category_Secondary_ID,Category_Tertiary_ID,Mechanic_Primary_ID,Mechanic_Secondary_ID,Mechanic_Tertiary_ID,Description_Long
Gloomhaven,2017,8.7,Vanquish monsters with strategic cardplay. Fulfill your quest to leave your legacy!,1,4,60,120,14+,3.89,Cephalofair Games,3916,3917,3,29,31,4,5,29,"Gloomhaven is a game of Euro-inspired tactical combat in a persistent world of shifting motives. Players will take on the role of a wandering adventurer with their own special set of skills and their own reasons for traveling to this dark corner of the world. Players must work together out of necessity to clear out menacing dungeons and forgotten ruins. In the process, they will enhance their abilities with experience and loot, discover new locations to explore and plunder, and expand an ever-branching story fueled by the decisions they make."
Brass: Birmingham,2018,8.66,"Build networks, grow industries, and navigate the world of the Industrial Revolution.",2,4,60,120,14+,3.91,Roxley,3916,0,24,37,61,64,73,85,"Brass: Birmingham is an economic strategy game sequel to Martin Wallace 2007 masterpiece, Brass. Brass: Birmingham tells the story of competing entrepreneurs in Birmingham during the industrial revolution, between the years of 1770-1870."
Pandemic Legacy: Season 1,2015,8.57,Mutating diseases are spreading around the world - can your team save humanity?,2,4,60,60,13+,0,Z-Man Games,3916,3917,27,43,0,3,42,64,"Pandemic Legacy is a co-operative campaign game, with an overarching story-arc played through 12-24 sessions, depending on how well your group does at the game. At the beginning, the game starts very similar to basic Pandemic, in which your team of disease-fighting specialists races against the clock to travel around the world, treating disease hotspots while researching cures for each of four plagues before they get out of hand."
Ark Nova,2021,8.63,"Plan and build a modern, scientifically managed zoo to support conservation projects.",1,4,90,150,14+,3.69,Feuerland Spiele,3916,0,10,24,27,56,64,65,"In Ark Nova, you will plan and design a modern, scientifically managed zoo. With the ultimate goal of owning the most successful zoological establishment, you will build enclosures, accommodate animals, and support conservation projects all over the world. Specialists and unique buildings will help you in achieving this goal."
Gloomhaven: Jaws of the Lion,2020,8.59,Vanquish monsters with strategic cardplay in a 25-scenario Gloomhaven campaign.,1,4,30,120,14+,3.62,Cephalofair Games,3916,3917,3,29,31,4,5,29,"Gloomhaven: Jaws of the Lion is a standalone game that takes place before the events of Gloomhaven. The game includes four new characters â€” Valrath Red Guard (tank, crowd control), Inox Hatchet (ranged damage), Human Voidwarden (support, mind-control), and Quatryl Demolitionist (melee damage, obstacle manipulation) â€” that can also be used in the original Gloomhaven game."
Terraforming Mars,2016,8.4,Compete with rival CEOs to make Mars habitable and build your corporate empire.,1,5,120,120,12+,3.25,FryxGames,3916,0,24,27,37,34,41,55,"In the 2400s, mankind begins to terraform the planet Mars. Giant corporations, sponsored by the World Government on Earth, initiate huge projects to raise the temperature, the oxygen level, and the ocean coverage until the environment is habitable. In Terraforming Mars, you play one of those corporations and work together in the terraforming process, but compete for getting victory points that are awarded not only for your contribution to the terraforming, but also for advancing human infrastructure throughout the solar system, and doing other commendable things."
Twilight Imperium: Fourth Edition,2017,8.64,"Build an intergalactic empire through trade, research, conquest and grand politics.",3,6,240,480,14+,4.28,Fantasy Flight Games,3916,3917,19,24,29,2,10,12,"Twilight Imperium (Fourth Edition) is a game of galactic conquest in which three to six players take on the role of one of seventeen factions vying for galactic domination through military might, political maneuvering, and economic bargaining. Every faction offers a completely different play experience, from the wormhole-hopping Ghosts of Creuss to the Emirates of Hacan, masters of trade and economics. These seventeen races are offered many paths to victory, but only one may sit upon the throne of Mecatol Rex as the new masters of the galaxy."
Star Wars: Rebellion,2016,8.42,Strike from your hidden base as the Rebelsâ€”or find and destroy it as the Empire.,2,4,180,240,14+,3.73,Fantasy Flight Games,3917,0,18,46,48,10,11,12,Star Wars: Rebellion is a board game of epic conflict between the Galactic Empire and Rebel Alliance for two to four players.
Gaia Project,2017,8.44,"Expand, research, upgrade, and settle the galaxy with one of 14 alien species.",1,4,60,150,12+,4.38,Feuerland Spiele,3916,0,19,24,46,41,56,65,"Gaia Project is a new game in the line of Terra Mystica. As in the original Terra Mystica, fourteen different factions live on seven different kinds of planets, and each faction is bound to their own home planets, so to develop and grow, they must terraform neighboring planets into their home environments in competition with the other groups. In addition, Gaia planets can be used by all factions for colonization, and Transdimensional planets can be changed into Gaia planets."
War of the Ring: Second Edition,2011,8.52,The Fellowship and the Free Peoples clash with Sauron over the fate of Middle-Earth.,2,4,150,180,13+,4.19,Ares Games,3917,3918,3,31,33,10,11,29,"In War of the Ring, one player takes control of the Free Peoples (FP), the other player controls Shadow Armies (SA). Initially, the Free People Nations are reluctant to take arms against Sauron, so they must be attacked by Sauron or persuaded by Gandalf or other Companions, before they start to fight properly: this is represented by the Political Track, which shows if a Nation is ready to fight in the War of the Ring or not."
Spirit Island,2017,8.37,Island Spirits join forces using elemental powers to defend their home from invaders.,1,4,90,120,13+,4.05,"Greater Than Games, LLC",3916,0,31,33,51,5,10,23,"In the most distant reaches of the world, magic still exists, embodied by spirits of the land, of the sky, and of every natural thing. As the great powers of Europe stretch their colonial empires further and further, they will inevitably lay claim to a place where spirits still hold power - and when they do, the land itself will fight back alongside the islanders who live there."
Through the Ages: A New Story of Civilization,2015,8.35,Rewrite history as you build up your civilization in this epic card drafting game!,2,4,120,120,14+,4.43,Czech Games Edition,3916,0,15,19,24,3,14,16,"Through the Ages: A New Story of Civilization is the new edition of Through the Ages: A Story of Civilization, with many changes small and large to the games cards over its three ages and extensive changes to how military works."
Great Western Trail,2016,8.27,Use strategic outposts and navigate danger as you herd your cattle to Kansas City.,2,4,75,150,12+,3.7,eggertspiele,3916,0,8,10,24,47,64,113,"America in the 19th century: You are a rancher and repeatedly herd your cattle from Texas to Kansas City, where you send them off by train. This earns you money and victory points. Needless to say, each time you arrive in Kansas City, you want to have your most valuable cattle in tow. However, the Great Western Trail not only requires that you keep your herd in good shape, but also that you wisely use the various buildings along the trail. Also, it might be a good idea to hire capable staff: cowboys to improve your herd, craftsmen to build your very own buildings, or engineers for the important railroad line."
Twilight Struggle,2005,8.27,Relive the Cold War and rewrite history in an epic clash between the USA and USSR.,2,2,120,180,13+,3.6,GMT Games,3916,3918,47,60,80,7,8,10,"Now the trumpet summons us again, not as a call to bear arms, though arms we need; not as a call to battle, though embattled we are  but a call to bear the burden of a long twilight struggle...
 John F. Kennedy"
Dune: Imperium,2020,8.34,"Influence, intrigue, and combat in the universe of Dune.",1,4,60,120,14+,3.01,Dire Wolf,3916,3917,48,55,60,30,47,61,"Some important links: The Official FAQ, the Unofficial FAQ, and an Automa (solo and 2p) Overview"
Scythe,2016,8.2,"Five factions vie for dominance in a war-torn, mech-filled, dieselpunk 1920s Europe.",1,5,90,115,14+,3.43,Stonemaier Games,3916,0,24,33,69,30,41,56,"It is a time of unrest in 1920s Europa. The ashes from the first great war still darken the snow. The capitalistic city-state known simply as â€œThe Factoryâ€ù, which fueled the war with heavily armored mechs, has closed its doors, drawing the attention of several nearby countries."
The Castles of Burgundy,2011,8.13,"Plan, trade, and build your Burgundian estate to prosperity and prominence.",2,4,30,90,12+,0,Harald Lieske,3916,0,23,44,73,50,56,62,"The game is set in the Burgundy region of High Medieval France. Each player takes on the role of an aristocrat, originally controlling a small princedom. While playing they aim to build settlements and powerful castles, practice trade along the river, exploit silver mines, and use the knowledge of travelers."
Nemesis,2018,8.34,Survive an alien-infested spaceship but beware of other players and their agendas.,1,5,90,180,12+,3.41,Rebel Sp. z o.o.,3917,0,3,35,46,29,42,50,"Playing Nemesis will take you into the heart of sci-fi survival horror in all its terror. A soldier fires blindly down a corridor, trying to stop the alien advance. A scientist races to find a solution in his makeshift lab. A traitor steals the last escape pod in the very last moment. Intruders you meet on the ship are not only reacting to the noise you make but also evolve as the time goes by. The longer the game takes, the stronger they become. During the game, you control one of the crew members with a unique set of skills, personal deck of cards, and individual starting equipment. These heroes cover all your basic SF horror needs. For example, the scientist is great with computers and research, but will have a hard time in combat. The soldier, on the other hand..."
7 Wonders Duel,2015,8.1,Science? Military? What will you draft to win this head-to-head version of 7 Wonders?,2,2,30,30,10+,0,Repos Production,3916,0,9,15,17,81,110,148,In many ways 7 Wonders Duel resembles its parent game 7 Wonders as over three ages players acquire cards that provide resources or advance their military or scientific development in order to develop a civilization and complete wonders.
Brass: Lancashire,2007,8.19,Test your economic mettle as you build and network in the Industrial Revolution.,2,4,60,120,14+,3.86,David Forest,3916,0,24,37,61,64,73,85,"Brass: Lancashire â€” first published as Brass â€” is an economic strategy game that tells the story of competing cotton entrepreneurs in Lancashire during the industrial revolution. You must develop, build, and establish your industries and network so that you can capitalize demand for iron, coal and cotton. The game is played over two halves: the canal phase and the rail phase. To win the game, score the most victory points (VPs), which are counted at the end of each half. VPs are gained from your canals, rails, and established (flipped) industry tiles. Each round, players take turns according to the turn order track, receiving two actions to perform any of the following:"
Concordia,2013,8.12,Traders compete to build the greatest empire in the Roman Mediterranean.,2,5,100,100,13+,3.01,PD-Verlag,3916,0,9,24,53,5,8,16,"Two thousand years ago, the Roman Empire ruled the lands around the Mediterranean Sea. With peace at the borders, harmony inside the provinces, uniform law, and a common currency, the economy thrived and gave rise to mighty Roman dynasties as they expanded throughout the numerous cities. Guide one of these dynasties and send colonists to the remote realms of the Empire; develop your trade network; and appease the ancient gods for their favor â€” all to gain the chance to emerge victorious!"
A Feast for Odin,2016,8.2,"Puzzle together the life of a Viking village as you hunt, farm, craft, and explore.",1,4,30,120,12+,3.84,Feuerland Spiele,3916,0,24,32,37,23,50,62,"A Feast for Odin is a saga in the form of a board game. You are reliving the cultural achievements, mercantile expeditions, and pillages of those tribes we know as Viking today â€” a term that was used quite differently towards the end of the first millennium."
Terra Mystica,2012,8.11,Play fantastical factions. Expand your influence by terraforming and joining cults.,2,5,60,150,12+,3.97,Feuerland Spiele,3916,0,19,24,31,56,65,73,"In the land of Terra Mystica dwell 14 different peoples in seven landscapes, and each group is bound to its own home environment, so to develop and grow, they must terraform neighboring landscapes into their home environments in competition with the other groups."
Wingspan,2019,8.08,Attract a beautiful and diverse collection of birds to your wildlife preserve.,1,5,40,70,10+,0,Stonemaier Games,3914,3916,10,15,25,41,50,56,"Wingspan is a competitive, medium-weight, card-driven, engine-building board game from Stonemaier Games. Its designed by Elizabeth Hargrave and features over 170 birds illustrated by Beth Sobel, Natalia Rojas, and Ana Maria Martinez."
Arkham Horror: The Card Game,2016,8.15,Investigate the horrors of Arkham while courting cosmic doom.,1,2,60,120,14+,3.5,Fantasy Flight Games,3913,3917,3,15,20,3,11,38,"Something evil stirs in Arkham, and only you can stop it. Blurring the traditional lines between role-playing and card game experiences, Arkham Horror: The Card Game is a Living Card Game of Lovecraftian mystery, monsters, and madness!"
